id,aluno_id,nome,data,matematica,linguagens,humanas,natureza,redacao_total,redacao_c1,redacao_c2,redacao_c3,redacao_c4,redacao_c5,created_at
43f44222-d31e-4735-a28e-354491af4a56,05eebd85-ad17-4d43-934f-1cbce6cf446f,Enem 2025,2026-01-01,22.0,29.0,31.0,23.0,,,,,,,2026-04-02 18:01:44.226071+00:00
686ddcf1-dc8b-4176-a8f1-84c1e3dfbf07,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 1° Conjunto 2025,2026-01-01,35.0,,,38.0,,,,,,,2026-04-02 18:01:44.226071+00:00
772b8a31-5c88-4a4a-95a4-9a031e0c5c7e,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 2° Conjunto 2025,2026-01-01,,27.0,32.0,,,,,,,,2026-04-02 18:01:44.226071+00:00
89d250a0-e07e-45d8-9cd6-cc1b30e1214f,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 3° Conjunto 2025,2026-01-01,32.0,28.0,30.0,29.0,,,,,,,2026-04-02 18:01:44.226071+00:00
933dda76-cf83-4372-bbdd-3ff7384dc665,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 1° Conjunto 2026,2026-01-01,25.0,30.0,32.0,20.0,,,,,,,2026-04-02 18:01:44.226071+00:00
b3f6cf8a-0ab6-4c4c-9718-d112adc8023d,05eebd85-ad17-4d43-934f-1cbce6cf446f,SAS 1° Conjunto 2026,2026-01-01,22.0,35.0,35.0,20.0,,,,,,,2026-04-02 18:01:44.226071+00:00
ee3901d8-c746-49f6-b7ba-200bf40ef573,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 2° Conjunto 2026,2026-01-01,15.0,30.0,31.0,20.0,,,,,,,2026-04-02 18:01:44.226071+00:00
d276b9c7-eba2-45ca-a05f-e3943462c4f2,05eebd85-ad17-4d43-934f-1cbce6cf446f,SAS 2025 2° Conjunto,2026-04-24,,,,,,,,,,,2026-04-27 19:08:54.183793+00:00
9aad0975-86ee-4118-8dd8-018eba1f2d90,05eebd85-ad17-4d43-934f-1cbce6cf446f,Simulado bernoulli 3º conjunto 2026 ,2026-04-28,25.0,,,21.0,,,,,,,2026-04-28 01:32:38.720997+00:00
afa5d5fd-1b9e-4688-8350-a75aab249da3,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 2025 4° Conjunto,2026-05-01,24.0,,,,,,,,,,2026-05-06 20:37:03.468013+00:00
1767eb3f-adf0-417d-9f48-6a9b6dfce170,05eebd85-ad17-4d43-934f-1cbce6cf446f,Bernoulli 2026 4° Conjunto,2026-06-08,24.0,27.0,33.0,25.0,,,,,,,2026-06-08 23:10:21.903540+00:00
98e3e8f8-3c47-43b9-9cc4-7e583a959718,05eebd85-ad17-4d43-934f-1cbce6cf446f,SAS 2026 3° Conjunto,2026-06-08,31.0,23.0,38.0,25.0,,,,,,,2026-06-08 23:17:19.204186+00:00
32b3c44e-7e4c-493c-9632-32eefe87fc15,1685cd68-0db4-41e2-84f7-5065022bb134,ENEM 2025,2026-04-02,41.0,40.0,40.0,39.0,,,,,,,2026-04-02 18:23:16.513865+00:00
ac4b7958-75a3-44ef-afed-7be6ff34a7c5,1685cd68-0db4-41e2-84f7-5065022bb134,ENEM 2024,2026-03-11,35.0,33.0,35.0,31.0,,,,,,,2026-04-16 03:14:41.350139+00:00
c2be0153-686d-4a92-8f9e-005e8a551ca8,1685cd68-0db4-41e2-84f7-5065022bb134,ENEM 2023,2026-02-11,29.0,28.0,35.0,20.0,,,,,,,2026-04-16 03:14:58.045098+00:00
32dadd92-62d7-4caa-b99e-8f4775c21f2c,1685cd68-0db4-41e2-84f7-5065022bb134,SAS 2025 1,2026-04-16,42.0,39.0,38.0,44.0,,,,,,,2026-04-16 14:00:21.149869+00:00
9c37afce-e30a-4e49-aa66-226b74aad1b8,1685cd68-0db4-41e2-84f7-5065022bb134,HEXAG,2026-04-16,43.0,39.0,41.0,42.0,,,,,,,2026-04-16 14:00:56.863694+00:00
753b507c-beae-4f93-86eb-29d9c85700c7,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,SAS 1 2023,2026-02-25,26.0,37.0,35.0,30.0,,,,,,,2026-04-02 18:02:20.834051+00:00
a05a27b8-297a-4251-b2d6-9dc0e2ba4902,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,1 POLIEDRO 2024,2026-03-20,27.0,39.0,36.0,32.0,,,,,,,2026-04-02 18:02:20.834051+00:00
a3e80dd2-6185-41c4-996f-9db6d6e9ea81,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,ENEM 2024,2026-01-01,27.0,36.0,36.0,28.0,,,,,,,2026-04-02 18:02:20.834051+00:00
c7e2bd41-4db6-4755-beac-64036563bc2b,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,EVOLUCIONAL 2 2025,2026-01-01,29.0,38.0,35.0,32.0,,,,,,,2026-04-02 18:02:20.834051+00:00
77599f2e-6812-4c47-8ff0-7c6a540d0b56,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,SAS 3 2025,2026-05-04,30.0,39.0,35.0,33.0,,,,,,,2026-05-04 17:02:57.073794+00:00
37480199-43d5-4da0-a59b-b2872ec011ad,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,ENEM 2017,2026-05-21,32.0,36.0,36.0,30.0,,,,,,,2026-05-21 16:25:08.436689+00:00
1ca9e85b-35f4-4a7a-beb4-5a25ec2a446c,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,ENEM PPL 2017,2026-05-26,35.0,38.0,41.0,35.0,,,,,,,2026-05-26 16:17:25.061295+00:00
4bbb6922-9f57-42b3-a885-19c02d4c774d,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,SOMOS 2023,2026-05-31,28.0,,,34.0,,,,,,,2026-05-31 12:37:33.522306+00:00
3806e03b-3433-4a99-8ce8-0dd7a85459e6,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,BERNOULLI 2025,2026-06-09,,38.0,35.0,32.0,,,,,,,2026-06-09 18:15:31.486164+00:00
d06e55f9-e328-41a5-bab2-6037977a8274,2119aaa5-f0a9-4cb8-bc30-3a5504efd77d, 3º POLIEDRO2024,2026-06-16,,39.0,32.0,,,,,,,,2026-06-16 13:32:30.791700+00:00
70269699-497a-4e19-aa85-a141ac10be3f,233afb42-cb42-41fe-a7fc-e865bc9615f1,ENEM 24 - simulado,2026-03-07,32.0,30.0,25.0,23.0,,,,,,,2026-04-02 18:03:09.537022+00:00
ef5f9204-23f6-49b0-914b-8d35f34bd467,233afb42-cb42-41fe-a7fc-e865bc9615f1,Simulado Bernoulli - 1o conjunto,2026-03-14,16.0,22.0,33.0,20.0,,,,,,,2026-04-02 18:03:09.537022+00:00
f037264d-46a4-41d2-9a63-b45e9b88339e,233afb42-cb42-41fe-a7fc-e865bc9615f1,ENEM 25 - refeito em 2026,2026-04-15,30.0,30.0,28.0,29.0,,,,,,,2026-04-20 18:21:51.881478+00:00
14685c2a-9f82-4e66-93e7-e1953c2e3799,2a136dad-e4c5-4de8-b4b1-fb18788a8f44,Bernoulli 1 2° Ano 2026,2026-04-01,20.0,29.0,37.0,22.0,,,,,,,2026-04-07 23:50:34.100403+00:00
7b10bf1e-2a20-4ab0-83d5-aa831878e114,2a136dad-e4c5-4de8-b4b1-fb18788a8f44,SAS 1 2026,2026-05-09,,34.0,29.0,,,,,,,,2026-05-15 00:07:11.376957+00:00
537404d5-91af-4de9-865b-e37b5f883d21,2d95dc73-c750-4806-a7cf-0deb07faad30,SAS 2025 Dia 1,2026-06-18,37.0,34.0,42.0,32.0,,,,,,,2026-06-18 22:31:32.322628+00:00
5b571458-9f39-40c0-8ec2-89eeb7ff58f9,2d95dc73-c750-4806-a7cf-0deb07faad30,sas 2,2026-06-18,43.0,23.0,44.0,34.0,,,,,,,2026-06-18 22:32:00.127150+00:00
8292f5b1-84ec-4c82-86f4-c06424e4c0a0,2d95dc73-c750-4806-a7cf-0deb07faad30,trieduc,2026-06-18,23.0,23.0,45.0,34.0,,,,,,,2026-06-18 22:32:21.465487+00:00
c5b22b5d-63dd-4a77-a382-3ca2c43692d8,2d95dc73-c750-4806-a7cf-0deb07faad30,evo 2 2025,2026-06-18,45.0,23.0,12.0,34.0,,,,,,,2026-06-18 22:34:27.553470+00:00
0a63fc29-6b39-4fd7-94d4-e8a3fee233d4,3e34a61b-98e0-48c8-951e-c9cf83a78c41,Bernoulli 2° Conjunto 2026,2026-01-01,27.0,33.0,32.0,30.0,,,,,,,2026-04-02 18:01:52.603871+00:00
2a995fd0-5ece-411e-8a60-73ae646ee368,3e34a61b-98e0-48c8-951e-c9cf83a78c41,Bernoulli 1° Conjunto 2026,2026-01-01,31.0,34.0,33.0,32.0,,,,,,,2026-04-02 18:01:52.603871+00:00
2d538dda-94d8-4d9b-8dcd-65948a97159d,3e34a61b-98e0-48c8-951e-c9cf83a78c41,Bernoulli 2° Conjunto 2025,2026-01-01,35.0,37.0,35.0,34.0,,,,,,,2026-04-02 18:01:52.603871+00:00
ed93308f-eb33-4c3e-b409-5f89a98b9fd6,3e34a61b-98e0-48c8-951e-c9cf83a78c41,SAS 1° Conjunto 2026,2026-01-01,,37.0,34.0,,,,,,,,2026-04-02 18:01:52.603871+00:00
f9347966-bc8f-4571-8998-0545d2429ad5,3e34a61b-98e0-48c8-951e-c9cf83a78c41,SAS 1° Conjunto 2025,2026-01-01,34.0,,,32.0,,,,,,,2026-04-02 18:01:52.603871+00:00
50471277-ff6a-4b1d-815a-afc90d49485a,3e34a61b-98e0-48c8-951e-c9cf83a78c41,Bernoulli 3° Conjunto 2026,2026-04-11,30.0,26.0,30.0,26.0,,,,,,,2026-04-15 23:05:33.373508+00:00
dc8761b2-54a7-45c5-9c24-b6a515ed9e52,3e34a61b-98e0-48c8-951e-c9cf83a78c41,SAS 2025 2° Conjunto,2026-06-03,,34.0,36.0,,,,,,,,2026-05-05 22:49:35.942606+00:00
feb9f669-a6e7-4388-bbda-d2ba2099920e,3e34a61b-98e0-48c8-951e-c9cf83a78c41,Bernoulli 4° Conjunto 2026,2026-06-03,28.0,32.0,31.0,27.0,,,,,,,2026-06-03 22:59:38.103535+00:00
