aluno_id,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza
05eebd85-ad17-4d43-934f-1cbce6cf446f,25.166666666666668,29.833333333333332,31.833333333333332,25.0,25.0,,,21.0
05eebd85-ad17-4d43-934f-1cbce6cf446f,25.0,,,21.0,24.0,,,
05eebd85-ad17-4d43-934f-1cbce6cf446f,24.0,,,,24.0,27.0,33.0,25.0
05eebd85-ad17-4d43-934f-1cbce6cf446f,24.0,27.0,33.0,25.0,31.0,23.0,38.0,25.0
1685cd68-0db4-41e2-84f7-5065022bb134,41.0,40.0,40.0,39.0,35.0,33.0,35.0,31.0
1685cd68-0db4-41e2-84f7-5065022bb134,35.0,33.0,35.0,31.0,29.0,28.0,35.0,20.0
1685cd68-0db4-41e2-84f7-5065022bb134,29.0,28.0,35.0,20.0,42.0,39.0,38.0,44.0
1685cd68-0db4-41e2-84f7-5065022bb134,42.0,39.0,38.0,44.0,43.0,39.0,41.0,42.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,27.25,37.5,35.5,30.5,30.0,39.0,35.0,33.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,30.0,39.0,35.0,33.0,32.0,36.0,36.0,30.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,32.0,36.0,36.0,30.0,35.0,38.0,41.0,35.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,35.0,38.0,41.0,35.0,28.0,,,34.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,28.0,,,34.0,,38.0,35.0,32.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,,38.0,35.0,32.0,,39.0,32.0,
233afb42-cb42-41fe-a7fc-e865bc9615f1,24.0,26.0,29.0,21.5,30.0,30.0,28.0,29.0
2a136dad-e4c5-4de8-b4b1-fb18788a8f44,20.0,29.0,37.0,22.0,,34.0,29.0,
2d95dc73-c750-4806-a7cf-0deb07faad30,37.0,34.0,42.0,32.0,43.0,23.0,44.0,34.0
2d95dc73-c750-4806-a7cf-0deb07faad30,43.0,23.0,44.0,34.0,23.0,23.0,45.0,34.0
2d95dc73-c750-4806-a7cf-0deb07faad30,23.0,23.0,45.0,34.0,45.0,23.0,12.0,34.0
3e34a61b-98e0-48c8-951e-c9cf83a78c41,31.75,35.25,33.5,32.0,30.0,26.0,30.0,26.0
3e34a61b-98e0-48c8-951e-c9cf83a78c41,30.0,26.0,30.0,26.0,,34.0,36.0,
3e34a61b-98e0-48c8-951e-c9cf83a78c41,,34.0,36.0,,28.0,32.0,31.0,27.0
3e34a61b-98e0-48c8-951e-c9cf83a78c41,28.0,32.0,31.0,27.0,,33.0,34.0,
41180d34-1434-4ee9-88f1-d12766ceb207,40.0,33.0,31.666666666666668,34.666666666666664,34.0,35.0,31.0,27.0
41180d34-1434-4ee9-88f1-d12766ceb207,34.0,35.0,31.0,27.0,38.0,32.0,40.0,30.0
41180d34-1434-4ee9-88f1-d12766ceb207,38.0,32.0,40.0,30.0,39.0,35.0,38.0,26.0
41180d34-1434-4ee9-88f1-d12766ceb207,39.0,35.0,38.0,26.0,37.0,35.0,30.0,28.0
41180d34-1434-4ee9-88f1-d12766ceb207,37.0,35.0,30.0,28.0,37.0,34.0,35.0,29.0
41180d34-1434-4ee9-88f1-d12766ceb207,37.0,34.0,35.0,29.0,40.0,31.0,30.0,29.0
41180d34-1434-4ee9-88f1-d12766ceb207,40.0,31.0,30.0,29.0,40.0,37.0,33.0,27.0
41180d34-1434-4ee9-88f1-d12766ceb207,40.0,37.0,33.0,27.0,,37.0,30.0,
4d3ee5f1-21e1-444d-94fd-d3d0832f0ea6,36.0,36.5,37.0,33.5,33.0,35.0,30.0,27.0
4e8115b5-3e5b-439c-867b-a876befcdea4,,28.0,33.0,,30.0,33.0,35.0,20.0
4e8115b5-3e5b-439c-867b-a876befcdea4,30.0,33.0,35.0,20.0,,37.0,30.0,
4e8115b5-3e5b-439c-867b-a876befcdea4,,37.0,30.0,,30.0,33.0,33.0,22.0
4e8115b5-3e5b-439c-867b-a876befcdea4,30.0,33.0,33.0,22.0,22.0,39.0,30.0,20.0
4e8115b5-3e5b-439c-867b-a876befcdea4,22.0,39.0,30.0,20.0,,38.0,24.0,
53f74b3a-3973-4af8-a567-55ce939243ac,30.5,31.5,32.75,21.0,33.0,35.0,34.0,26.0
53f74b3a-3973-4af8-a567-55ce939243ac,33.0,35.0,34.0,26.0,36.0,28.0,31.0,31.0
53f74b3a-3973-4af8-a567-55ce939243ac,36.0,28.0,31.0,31.0,,34.0,31.0,
53f74b3a-3973-4af8-a567-55ce939243ac,,34.0,31.0,,25.0,37.0,32.0,22.0
53f74b3a-3973-4af8-a567-55ce939243ac,25.0,37.0,32.0,22.0,,34.0,35.0,
53f74b3a-3973-4af8-a567-55ce939243ac,,34.0,35.0,,35.0,38.0,41.0,26.0
58d56284-c5de-4e5a-beff-b81975b6c09a,25.333333333333332,32.666666666666664,31.333333333333332,28.666666666666668,31.0,33.0,36.0,20.0
58d56284-c5de-4e5a-beff-b81975b6c09a,31.0,33.0,36.0,20.0,27.0,34.0,36.0,20.0
58d56284-c5de-4e5a-beff-b81975b6c09a,27.0,34.0,36.0,20.0,32.0,33.0,36.0,28.0
58d56284-c5de-4e5a-beff-b81975b6c09a,32.0,33.0,36.0,28.0,20.0,37.0,34.0,20.0
5a37ed4e-7ba3-41e9-86e2-aff4f4b021e1,28.333333333333332,31.77777777777778,32.111111111111114,30.375,30.0,32.0,30.0,23.0
5a37ed4e-7ba3-41e9-86e2-aff4f4b021e1,30.0,32.0,30.0,23.0,31.0,39.0,36.0,36.0
