aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
05eebd85-ad17-4d43-934f-1cbce6cf446f,2026-04-02 18:01:44.226071+00:00,25.166666666666668,29.83333333333333,31.83333333333333,25.0,25.0,,,21.0,1,,,,,25.166666666666668,29.83333333333333,31.83333333333333,25.0
05eebd85-ad17-4d43-934f-1cbce6cf446f,2026-04-28 01:32:38.720997+00:00,25.0,,,21.0,24.0,,,,2,-0.16666666666667052,,,-4.000000000000005,25.083333333333336,29.83333333333333,31.83333333333333,23.0
05eebd85-ad17-4d43-934f-1cbce6cf446f,2026-05-06 20:37:03.468013+00:00,24.0,,,,24.0,27.0,33.0,25.0,3,-0.5833333333333348,,,-4.000000000000005,24.722222222222225,29.83333333333333,31.83333333333333,23.0
05eebd85-ad17-4d43-934f-1cbce6cf446f,2026-06-08 23:10:21.903540+00:00,24.0,27.0,33.0,25.0,31.0,23.0,38.0,25.0,4,-0.45000000000000073,-2.8333333333333317,1.1666666666666694,-1.5222482207616462e-15,24.333333333333332,27.0,33.0,23.0
1685cd68-0db4-41e2-84f7-5065022bb134,2026-04-02 18:23:16.513865+00:00,41.0,40.0,40.0,39.0,35.0,33.0,35.0,31.0,1,,,,,41.0,40.0,40.0,39.0
1685cd68-0db4-41e2-84f7-5065022bb134,2026-04-16 03:14:41.350139+00:00,35.0,33.0,35.0,31.0,29.0,28.0,35.0,20.0,2,-6.000000000000003,-6.999999999999999,-5.000000000000005,-8.000000000000004,38.0,36.5,37.5,35.0
1685cd68-0db4-41e2-84f7-5065022bb134,2026-04-16 03:14:58.045098+00:00,29.0,28.0,35.0,20.0,42.0,39.0,38.0,44.0,3,-6.000000000000009,-6.000000000000001,-2.5000000000000004,-9.500000000000005,35.0,33.666666666666664,36.666666666666664,30.0
1685cd68-0db4-41e2-84f7-5065022bb134,2026-04-16 14:00:21.149869+00:00,42.0,39.0,38.0,44.0,43.0,39.0,41.0,42.0,4,-0.3000000000000004,-0.8000000000000004,-0.6000000000000003,0.4000000000000028,35.333333333333336,33.333333333333336,36.0,31.666666666666668
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-04-02 18:02:20.834051+00:00,27.25,37.5,35.5,30.5,30.0,39.0,35.0,33.0,1,,,,,27.25,37.5,35.5,30.5
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-05-04 17:02:57.073794+00:00,30.0,39.0,35.0,33.0,32.0,36.0,36.0,30.0,2,2.7499999999999973,1.4999999999999927,-0.5000000000000044,2.499999999999998,28.625,38.25,35.25,31.75
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-05-21 16:25:08.436689+00:00,32.0,36.0,36.0,30.0,35.0,38.0,41.0,35.0,3,2.3749999999999987,-0.7500000000000017,0.24999999999999514,-0.2500000000000038,29.75,37.5,35.5,31.166666666666668
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-05-26 16:17:25.061295+00:00,35.0,38.0,41.0,35.0,28.0,,,34.0,4,2.5250000000000017,-0.14999999999999597,1.7499999999999984,1.0500000000000005,32.333333333333336,37.666666666666664,37.333333333333336,32.666666666666664
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-05-31 12:37:33.522306+00:00,28.0,,,34.0,,38.0,35.0,32.0,5,0.6499999999999965,-0.14999999999999597,1.7499999999999984,0.899999999999996,31.666666666666668,37.0,38.5,33.0
2119aaa5-f0a9-4cb8-bc30-3a5504efd77d,2026-06-09 18:15:31.486164+00:00,,38.0,35.0,32.0,,39.0,32.0,,6,0.6499999999999965,-5.4839166266660245e-15,0.4999999999999957,0.442857142857141,31.5,38.0,38.0,33.666666666666664
233afb42-cb42-41fe-a7fc-e865bc9615f1,2026-04-02 18:03:09.537022+00:00,24.0,26.0,29.0,21.5,30.0,30.0,28.0,29.0,1,,,,,24.0,26.0,29.0,21.5
2a136dad-e4c5-4de8-b4b1-fb18788a8f44,2026-04-07 23:50:34.100403+00:00,20.0,29.0,37.0,22.0,,34.0,29.0,,1,,,,,20.0,29.0,37.0,22.0
2d95dc73-c750-4806-a7cf-0deb07faad30,2026-06-18 22:31:32.322628+00:00,37.0,34.0,42.0,32.0,43.0,23.0,44.0,34.0,1,,,,,37.0,34.0,42.0,32.0
2d95dc73-c750-4806-a7cf-0deb07faad30,2026-06-18 22:32:00.127150+00:00,43.0,23.0,44.0,34.0,23.0,23.0,45.0,34.0,2,5.999999999999987,-10.999999999999998,1.999999999999992,1.9999999999999944,40.0,28.5,43.0,33.0
2d95dc73-c750-4806-a7cf-0deb07faad30,2026-06-18 22:32:21.465487+00:00,23.0,23.0,45.0,34.0,45.0,23.0,12.0,34.0,3,-6.9999999999999964,-5.500000000000003,1.5000000000000016,0.9999999999999977,34.333333333333336,26.666666666666668,43.666666666666664,33.333333333333336
3e34a61b-98e0-48c8-951e-c9cf83a78c41,2026-04-02 18:01:52.603871+00:00,31.75,35.25,33.5,32.0,30.0,26.0,30.0,26.0,1,,,,,31.75,35.25,33.5,32.0
3e34a61b-98e0-48c8-951e-c9cf83a78c41,2026-04-15 23:05:33.373508+00:00,30.0,26.0,30.0,26.0,,34.0,36.0,,2,-1.750000000000004,-9.250000000000005,-3.5000000000000067,-6.000000000000007,30.875,30.625,31.75,29.0
